Care Coordination and Support Personnel (CCaSP),,,,
(Actors: the people/role who perform or coordinate services),,,,
"Individuals or workforce roles responsible for coordinating, navigating, facilitating, managing, monitoring, or supporting access to healthcare, behavioral health, social care, community resources, and related services, and who work with shared care plans or equivalent plans to promote continuity of care, reduce barriers, and help individuals achieve health and wellbeing goals across care settings and organizations.",,,,
Role ID,Role,Definition,Reference,Capability Profile Notes
ROLE-001,Care Coordinator,"Individuals responsible for organizing, monitoring, and facilitating delivery of services across healthcare providers and settings to ensure continuity, efficiency, and achievement of person-centered goals. Activities commonly include care planning, communication management, referrals, follow-up, and transitions of care.","AHRQ
CMS","Broad coordination profile emphasizing care planning, communication, referrals, follow-up, monitoring, and continuity across settings and organizations."
ROLE-002,Care Navigator,"Individuals who assist individuals in understanding, accessing, and progressing through healthcare and related services by reducing barriers and coordinating logistics, education, and service linkage.  Focus is typically patient guidance and system navigation.",NIH,"Navigation-first role emphasizing guidance, access, service linkage, barrier reduction, and progression through healthcare and related services."
ROLE-003,Case Manager,"Individuals responsible for assessment, planning, facilitation, care advocacy, coordination, monitoring, and evaluation of services to meet comprehensive health and human service needs and support achievement of care goals over time.","CMSA
CMS","Comprehensive management profile emphasizing assessment, planning, coordination, monitoring, evaluation, and longitudinal support of care goals."
ROLE-004,Patient Navigator,"Individuals who guide patients through healthcare processes and barriers to care, helping improve access, communication, adherence, and timely completion of recommended services and treatment. Commonly used in oncology and population health settings.",NIH,"Patient-facing navigation profile emphasizing engagment, access, communication, adherence, and timely completion of services and treatment."
ROLE-005,Community Health Worker,"Trusted frontline public health worker who facilitates access to services and improves quality and cultural competence of service delivery through outreach, education, advocacy, and care coordination.",CDC,"Strong emphasis on navigation, advocacy, community connection, engagement, and barrier reduction."
ROLE-006,Social Care Coordinator,"Individuals responsible for connecting individuals to community, social, behavioral, housing, food, transportation, and related support services and coordinating follow-through across sectors.",CMS,"Strongest cross-domain coordination profile; emphasizes coordination across healthcare, behavioral health, social care, and community services."
ROLE-007,Case Worker,"Individuals responsible for assessing needs, coordinating services, facilitating access to health and social resources, monitoring progress, documenting outcomes, and supporting individuals in achieving care or service goals.  Case workers often operate across healthcare, behavioral health, social services, community programs, and public assistance systems and may perform case management functions depending on organizational scope.","CMS
CMSA","Broad support and coordination profile emphasizing needs assessment, service facilitation, monitoring, and achievement of care service goals."
ROLE-008,Community Resource Navigator / Resource Navigator (RNAV),"Individuals responsible for helping individuals identify, access, coordinate, and engage with community-based, social, public, and supportive resources to address health-related social needs and improve wellbeing across care settings and organizations.","NIH

H&H","Navigation-first role emphasizing identification of recources, service connection, and facilitating access to community and supportive services."
ROLE-009,Community Outreach Worker,"Individuals responsible for engaging individuals and communities, conducting outreach, providing education and resource awareness, identify unmet needs, facilitating connections to healthcare, social, and community services, and supporting engagement with available programs and resources.",NIH,"Outreach and engagement profile emphasizing education, community connection, unmet need identificaiton, and linkage to services."
ROLE-010,Referral Coordinator,"Individuals responsible for facilitating, managing, documenting, and tracking referrals across services, organizations, and care settings to support timely access, communicaiton, follow-up, and continuity of care.","CMS
AHRQ","Emphasized referral management, documentation, communication, follow-up, and continuity more than assessment and formal care planning."
ROLE-011,Resource Specialist,"Individuals responsible for identifying, organizing, and connecting individuals to available healthcare, social, community, financial, and supportive resources and providing information to support service access and management.","CMS
Community Resource Navigation programs","Focused on identifying, organizing, and connecting resources rather than longitudinal coordination or formal care management."
ROLE-012,Peer Support Specialist,"Individuals with lived experience who provide support, mentorship, advocacy, education, and service navigation to help individuals engage in care, recovery, self-management, and achievement of personal goals.",SAMHSA,"Emphasizes advocacy, engagement, lived experience, and support over formal coordination activities."
